groupResult.Bipolar.ID	groupResult.Bipolar.chrom	groupResult.Bipolar.loc.start	groupResult.Bipolar.loc.end	groupResult.Bipolar.num.mark	groupResult.Bipolar.seg.mean
X.Bipolar.qn	1	69591	42335050	23633	-0.0181
X.Bipolar.qn	1	42336647	42336652	2	0.4411
X.Bipolar.qn	1	42340205	51452513	3656	-0.0134
X.Bipolar.qn	1	51510876	51571726	10	0.1934
X.Bipolar.qn	1	51572879	63061968	3340	-0.0055
X.Bipolar.qn	1	63062202	63091395	10	0.2293
X.Bipolar.qn	1	63142359	117911467	10722	0.0128
X.Bipolar.qn	1	117913096	118066288	10	0.1335
X.Bipolar.qn	1	118077997	148855372	1266	-0.0048
X.Bipolar.qn	1	148901580	149298892	32	0.1378
X.Bipolar.qn	1	149815087	157568795	4930	-0.0234
X.Bipolar.qn	1	157596094	157661537	11	0.117
X.Bipolar.qn	1	157668115	161575324	1675	-0.0091
X.Bipolar.qn	1	161575716	161609384	10	0.1773
X.Bipolar.qn	1	161655029	184679498	5737	0.0024
X.Bipolar.qn	1	184680750	184717962	8	0.1796
X.Bipolar.qn	1	184722906	231762238	12471	-8e-04
X.Bipolar.qn	1	231762359	231762372	3	0.4437
X.Bipolar.qn	1	231762459	234019447	501	0.0038
X.Bipolar.qn	1	234033560	234041456	11	0.1659
X.Bipolar.qn	1	234041845	249219611	3779	0.0076
X.Bipolar.qn	10	96730	37423905	10147	0.0028
X.Bipolar.qn	10	37528385	37725488	13	0.1908
X.Bipolar.qn	10	37777912	71892694	5227	0.0059
X.Bipolar.qn	10	71892715	71892787	5	0.1875
X.Bipolar.qn	10	71893017	89627854	4959	-0.0147
X.Bipolar.qn	10	89628567	89638807	5	0.2558
X.Bipolar.qn	10	89645829	97853087	2203	0.0119
X.Bipolar.qn	10	97871186	97871420	3	0.3439
X.Bipolar.qn	10	97878504	112641196	5040	-0.0101
X.Bipolar.qn	10	112643552	112655570	8	0.1523
X.Bipolar.qn	10	112661918	112679649	25	-0.0604
X.Bipolar.qn	10	112680595	112794609	18	0.1608
X.Bipolar.qn	10	112832758	115615082	677	-0.0039
X.Bipolar.qn	10	115618670	115639864	5	0.2268
X.Bipolar.qn	10	115651479	121331045	1697	0.004
